Channel_name,Subscribers,Views,Videos,playlist_id
techTFQ,94400,4368485,65,UUnz-ZXXER4jOvuED5trXfEA
codebasics,624000,40803801,531,UUh9nVJoWXmFb7sLApWGcLPQ
Krish Naik,613000,57896360,1446,UUNU_lfiiWBdtULKOw6X0Dig
Ken Jee,211000,6656183,234,UUiT9RITQ9PW6BhXK0y2jaeg
Alex The Analyst,254000,10093154,155,UU7cs8q-gJRlGwj4A8OmCmXg
